n_per_class,seed,model,accuracy,macro_f1
100,42,TF-IDF + Logistic Regression,0.7866666666666666,0.7885744140916555
100,42,Local Word2Vec + MLP,0.6666666666666666,0.6637357482874724
100,42,Pretrained GloVe + MLP,0.6266666666666667,0.6073920673920674
100,52,TF-IDF + Logistic Regression,0.7733333333333333,0.7762117452440033
100,52,Local Word2Vec + MLP,0.6266666666666667,0.6297321097515758
100,52,Pretrained GloVe + MLP,0.5733333333333334,0.5698689458689458
100,62,TF-IDF + Logistic Regression,0.84,0.8356000052968907
100,62,Local Word2Vec + MLP,0.72,0.7135727969348659
100,62,Pretrained GloVe + MLP,0.5333333333333333,0.5168505880084828
300,42,TF-IDF + Logistic Regression,0.84,0.8392674751485334
300,42,Local Word2Vec + MLP,0.8088888888888889,0.8098299743645493
300,42,Pretrained GloVe + MLP,0.7333333333333333,0.732318416295419
300,52,TF-IDF + Logistic Regression,0.8044444444444444,0.804118646741508
300,52,Local Word2Vec + MLP,0.7511111111111111,0.7450761986840734
300,52,Pretrained GloVe + MLP,0.6933333333333334,0.6943059510770354
300,62,TF-IDF + Logistic Regression,0.8622222222222222,0.8620627924422392
300,62,Local Word2Vec + MLP,0.7866666666666666,0.7896261118458532
300,62,Pretrained GloVe + MLP,0.7333333333333333,0.7333206267007109
600,42,TF-IDF + Logistic Regression,0.8288888888888889,0.8287692881115813
600,42,Local Word2Vec + MLP,0.8044444444444444,0.8042528422435373
600,42,Pretrained GloVe + MLP,0.7511111111111111,0.7512242854779232
600,52,TF-IDF + Logistic Regression,0.8577777777777778,0.8575051982768238
600,52,Local Word2Vec + MLP,0.8066666666666666,0.8046775446775447
600,52,Pretrained GloVe + MLP,0.7222222222222222,0.7212546634449245
600,62,TF-IDF + Logistic Regression,0.8711111111111111,0.8710690328777906
600,62,Local Word2Vec + MLP,0.8288888888888889,0.8268232565753573
600,62,Pretrained GloVe + MLP,0.7244444444444444,0.7216371975555953
1000,42,TF-IDF + Logistic Regression,0.8613333333333333,0.8605281066941728
1000,42,Local Word2Vec + MLP,0.8213333333333334,0.8194103701370559
1000,42,Pretrained GloVe + MLP,0.7426666666666667,0.738707679508789
1000,52,TF-IDF + Logistic Regression,0.8706666666666667,0.8705287216588588
1000,52,Local Word2Vec + MLP,0.8333333333333334,0.8336230128479946
1000,52,Pretrained GloVe + MLP,0.7293333333333333,0.7278665110877863
1000,62,TF-IDF + Logistic Regression,0.844,0.8421886652661354
1000,62,Local Word2Vec + MLP,0.7986666666666666,0.7969421096704524
1000,62,Pretrained GloVe + MLP,0.7186666666666667,0.7190251010656425
2000,42,TF-IDF + Logistic Regression,0.8626666666666667,0.862866659483158
2000,42,Local Word2Vec + MLP,0.8426666666666667,0.8440840955703841
2000,42,Pretrained GloVe + MLP,0.76,0.7605154025542054
2000,52,TF-IDF + Logistic Regression,0.8666666666666667,0.8665578258881516
2000,52,Local Word2Vec + MLP,0.8353333333333334,0.8353665344343779
2000,52,Pretrained GloVe + MLP,0.7666666666666667,0.7650959407876575
2000,62,TF-IDF + Logistic Regression,0.858,0.8582193013306327
2000,62,Local Word2Vec + MLP,0.8233333333333334,0.8224278104551518
2000,62,Pretrained GloVe + MLP,0.754,0.7526180481774225
